"브랜드","차종","가격","연식","배기량","주행거리","색상","변속기","연료","선루프","LED헤드램프","어댑티드헤드램프","가죽시트","열선시트.앞좌석.","통풍시트","후방센서","스마트키","네비게이션.순정.","네비게이션.비순정.","전손유무","소유자.이전.횟수","침수유무"
"기아","스팅어 마이스터 2.5 터보 AWD 마스터즈",2799,"2020.09",2497,57230,4,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","G80 3.3 AWD 럭셔리",2690,"2016.07",3342,29535,2,1,1,1,0,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV70 3.5 터보 AWD",4590,"2022.05",3470,50000,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스",3690,"2022.01",1598,41355,2,1,4,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜",3220,"2019.1",3342,50000,2,1,2,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보 스포츠팩",5150,"2021.11",3470,23425,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","싼타페TM 2.0 가솔린 터보 2WD 인스퍼레이션",2630,"2018.1",1998,43619,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","G70 3.3 터보 AWD 스포츠 프레스티지",3420,"2020.06",3342,38961,1,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보 AWD",5900,"2022.01",3470,45026,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","올 뉴 아반떼 1.6 터보 N 라인 인스퍼레이션",2200,"2021.03",1598,26823,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.2 디젤",4720,"2020.12",2151,45994,2,1,2,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보 AWD",4950,"2021.01",3470,53922,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",4590,"2020.05",2996,92425,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜",3299,"2018.11",2199,42059,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","GV70 2.5 터보 AWD  스포츠",4950,"2022.01",2497,29382,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜",3170,"2018.06",3342,36773,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","쏘렌토 4세대 하이브리드 1.6 터보 HEV 4WD 그래비티",4120,"2021.08",1598,32882,3,1,4,1,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","더 K9 3.8 AWD  플래티넘Ⅱ",3099,"2018.06",3778,41731,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 7인승",6799,"2022.01",2996,48484,2,1,2,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",5600,"2020.1",2996,48450,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",5980,"2020.02",2996,46273,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"현대","더 뉴 그랜저 2.5 캘리그래피",3350,"2021.01",2497,49819,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","GV80 2.5 터보 AWD 5인승",7399,"2022.05",2497,4839,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보",3770,"2020.1",3470,79645,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","더 뉴 그랜저 2.5 캘리그래피",2640,"2020.06",2497,60438,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","아반떼 N 2.0 터보",2799,"2022.09",1998,33439,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티",3570,"2020.1",1598,53364,2,1,4,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","올 뉴 K7 하이브리드 2.4 HEV 노블레스 스페셜",2590,"2018.12",2359,76062,2,1,4,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보 AWD",6490,"2023.07",3470,14061,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD  7인승",5599,"2020.12",2996,54145,1,1,2,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 2.5 터보 5인승",5190,"2021.01",2497,65471,2,1,1,0,1,0,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 5인승",4890,"2020.04",2996,52419,1,1,2,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",5390,"2021.08",2497,33035,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜",2780,"2019.11",2199,26612,2,1,2,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",4690,"2020.04",2996,74625,2,1,2,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",5280,"2021.03",2497,27288,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","G90 2세대 3.5 터보 AWD 프레스티지 컬렉션",9790,"2023.07",3470,11382,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",3830,"2021.08",2497,68302,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","더 뉴 그랜저 2.5 캘리그래피",3300,"2021.01",2497,53824,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","더 뉴 그랜저 2.5 익스클루시브",3170,"2020.06",2497,32727,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","G90 2세대 3.5 터보 AWD 프리미엄 컬렉션",8790,"2022.06",3470,21802,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"제네시스","G90 2세대 3.5 터보 AWD 프레스티지 컬렉션",9050,"2022.12",3470,38413,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","G90 2세대 3.5 터보 AWD 프리미엄 컬렉션",8990,"2022.04",3470,31924,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",5680,"2021.02",2497,6603,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","더 뉴 그랜저 2.5 르블랑",2540,"2022.06",2497,36590,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",5650,"2021.1",2497,36143,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",4850,"2021.12",2497,20735,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",4790,"2021.06",2497,63650,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 3.5 터보 AWD",5090,"2020.11",3470,23047,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","K5 1.6 터보 시그니처",2870,"2022.02",1598,24618,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",5199,"2020.12",2497,20267,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","K7 프리미어 하이브리드 2.4 HEV  노블레스",2870,"2021.01",2359,65297,3,1,4,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","카니발 4세대 3.5 가솔린 9인승  시그니처",3599,"2021.03",3470,37923,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",5070,"2021.1",2497,42843,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.5 터보 5인승",4890,"2020.06",3470,60022,1,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
